idescuela,idplantel,ccts,escuela,idcodigo,cv_cct,
1,01INM_1153,01KPR0054J,CURSO COMUNITARIO,20445,01KPR0054J,
2,02INM_1875,02KJN0241M/02KPR0039Q,PREESCOLAR COMUNITARIO,,02KJN0241M,
3,02INM_1756,02DNM0004Y/02DZC0015B,PREESCOLAR PARA NIÑOS MIGRANTES,,,
4,02INM_1746,02DPB0011Z,ÑUU NDAVI,,,
5,02INM_1957,02DCC0019N,MARGARITA PAZ PAREDES,,02DCC0019N,
6,02INM_1924,02DJN0505V,JAIME NUNO ROCA,,02DJN0505V,
7,02INM_1804,02ETV0031M,TELESECUNDARIA NUM. 31,,02ETV0031M,
8,02INM_1805,02DCC0004L,BENITA ARBALLO,,02DCC0004L,
9,02INM_1936,02KJN0248F/02KPR0158D,PREESCOLAR COMUNITARIO,,02KJN0248F,
10,02INM_1864,02DCC0054T,JUAN DE LA BARRERA,,02DCC0054T,
11,02INM_1866,02DCC0021B,VE E NAVALI,,02DCC0021B,
12,02INM_1868,02DJN0277R,DANTE ALIGHIERI,,02DJN0277R,
13,02INM_1920,02DCC0036D,GUILLERMO GONZALEZ CAMARENA,,,
14,02INM_1859,02DCC0037C,ITZCOATL,,02DCC0037C,
15,02INM_1861,02DTV0007N,TELESECUNDARIA NUM. 103,,02DTV0007N,
16,02INM_1930,02DZC0017Z/02DNM0001A/02DZS0001Z,PRIMARIA PARA NIÑOS MIGRANTES,,02DZC0017Z,
17,02INM_1931,02DPB0029Z,BENITO JUAREZ,,02DPB0029Z,
18,02INM_1624,02ETV0014W,TELESECUNDARIA NUM. 45,,02ETV0014W,
19,02INM_1959,02DZS0002Z/02DZC0036O/02DNM0002Z,"SECUNDARIA       PARA       NINOS       MIGRANTES
CAMPAMENTO EL CONSUELO",,,
20,02INM_1975,02DPB0042T,LUIS RODRIGUEZ AVIÑA,,,
21,02INM_1986,02DNM0003Z/02DZC0040A,PREESCOLAR PARA NINOS MIGRANTES,,02DNM0003Z,
22,02INM_1802,02EJN0099D,JOHN DEWEY,,,
23,02INM_1854,02EJN0252H,JARDIN DE NIÑOS DE LA ESPERANZA,,02EJN0252H,
24,02INM_1878,02DCC0003M,MARIA EMES,,,
25,02INM_1995,02ETV0075J,TELESECUNDARIA NUM. 16,,02ETV0075J,
